file,status,detail
docs\xhs-watch-party-campaign\day-01\01-cover.png,replaced,"box=813,1451,201,69 text=火星探索日志·火箭观礼 color=#1B3A6B"
docs\xhs-watch-party-campaign\day-01\02-info.png,replaced,"box=818,1455,195,62 text=火星探索日志·火箭观礼 color=#1B3A6B"
docs\xhs-watch-party-campaign\day-01\03-merchant.png,replaced,"box=813,1448,201,72 text=火星探索日志·火箭观礼 color=#1B3A6B"
docs\xhs-watch-party-campaign\day-02\01-cover.png,replaced,"box=130,1395,430,118 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-02\02-info.png,replaced,"box=171,82,368,99 text=火星探索日志·火箭观礼 color=#5C2E14"
docs\xhs-watch-party-campaign\day-02\03-merchant.png,replaced,"box=359,0,388,125 text=火星探索日志 color=#5C2E14"
docs\xhs-watch-party-campaign\day-03\01-cover.png,replaced,"box=559,1121,430,153 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-03\02-info.png,replaced,"box=386,1367,430,151 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-03\03-merchant.png,replaced,"box=393,54,430,153 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-04\01-cover.png,replaced,"box=160,62,430,128 text=火星探索日志·火箭观礼 color=#1A3A4A"
docs\xhs-watch-party-campaign\day-04\02-info.png,replaced,"box=331,1366,430,115 text=火星探索日志·火箭观礼 color=#1A3A4A"
docs\xhs-watch-party-campaign\day-04\03-merchant.png,replaced,"box=168,39,430,132 text=火星探索日志·火箭观礼 color=#1A3A4A"
docs\xhs-watch-party-campaign\day-05\01-cover.png,replaced,"box=604,1394,394,99 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-05\02-info.png,replaced,"box=379,1395,430,108 text=火星探索日志·火箭观礼 color=#0F5C5C"
docs\xhs-watch-party-campaign\day-05\03-merchant.png,replaced,"box=233,61,430,132 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-06\01-cover.png,replaced,"box=79,4,403,99 text=火星探索日志·火箭观礼 color=#9A3412"
docs\xhs-watch-party-campaign\day-06\02-info.png,replaced,"box=356,1400,430,115 text=火星探索日志·火箭观礼 color=#9A3412"
docs\xhs-watch-party-campaign\day-06\03-merchant.png,skip,no_logo
docs\xhs-watch-party-campaign\day-07\01-cover.png,replaced,"box=232,37,430,141 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-07\02-info.png,replaced,"box=103,40,313,89 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-07\03-merchant.png,replaced,"box=296,166,430,128 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-08\01-cover.png,replaced,"box=295,170,430,151 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-08\02-info.png,replaced,"box=355,1375,430,95 text=火星探索日志·火箭观礼 color=#7A1F2B"
docs\xhs-watch-party-campaign\day-08\03-merchant.png,replaced,"box=346,55,430,153 text=火星探索日志·火箭观礼 color=#7A1F2B"
docs\xhs-watch-party-campaign\day-09\01-cover.png,replaced,"box=97,36,430,99 text=火星探索日志·火箭观礼 color=#1B4B5A"
docs\xhs-watch-party-campaign\day-09\02-info.png,replaced,"box=364,1379,430,138 text=火星探索日志·火箭观礼 color=#1B4B5A"
docs\xhs-watch-party-campaign\day-09\03-merchant.png,replaced,"box=295,240,430,151 text=火星探索日志·火箭观礼 color=#1B4B5A"
docs\xhs-watch-party-campaign\day-10\01-cover.png,replaced,"box=386,62,430,153 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-10\02-info.png,replaced,"box=379,1391,430,108 text=火星探索日志·火箭观礼 color=#1E293B"
docs\xhs-watch-party-campaign\day-10\03-merchant.png,replaced,"box=288,180,430,153 text=火星探索日志·火箭观礼 color=#1E293B"
docs\xhs-watch-party-campaign\day-11\01-cover.png,replaced,"box=127,27,430,121 text=火星探索日志·火箭观礼 color=#0E7490"
docs\xhs-watch-party-campaign\day-11\02-info.png,replaced,"box=307,221,426,108 text=火星探索日志·火箭观礼 color=#0E7490"
docs\xhs-watch-party-campaign\day-11\03-merchant.png,replaced,"box=292,102,430,153 text=火星探索日志·火箭观礼 color=#0E7490"
docs\xhs-watch-party-campaign\day-12\01-cover.png,replaced,"box=140,29,430,121 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-12\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-12\03-merchant.png,replaced,"box=299,1418,430,108 text=火星探索日志·火箭观礼 color=#3F3A1D"
docs\xhs-watch-party-campaign\day-13\01-cover.png,replaced,"box=134,14,269,99 text=火星探索日志 color=#E8D5A3"
docs\xhs-watch-party-campaign\day-13\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-13\03-merchant.png,replaced,"box=306,1423,430,99 text=火星探索日志·火箭观礼 color=#E8D5A3"
docs\xhs-watch-party-campaign\day-14\01-cover.png,replaced,"box=334,31,430,124 text=火星探索日志·火箭观礼 color=#1D4ED8"
docs\xhs-watch-party-campaign\day-14\02-info.png,replaced,"box=302,1441,430,95 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-14\03-merchant.png,replaced,"box=324,1370,430,153 text=火星探索日志·火箭观礼 color=#1D4ED8"
docs\xhs-watch-party-campaign\day-15\01-cover.png,replaced,"box=81,0,384,88 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-15\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-15\03-merchant.png,replaced,"box=333,1393,430,128 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-16\01-cover.png,replaced,"box=558,1391,430,125 text=火星探索日志·火箭观礼 color=#166534"
docs\xhs-watch-party-campaign\day-16\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-16\03-merchant.png,replaced,"box=297,1401,430,135 text=一+火星探索日志·火箭观礼+一 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-17\01-cover.png,skip,no_logo
